0	0	0	0	0	0	-7.21816	0	0	0	0	0	0	
0	0	0	0	0	0	-0.948192	0	0	0	-0.95527	0	0	
0	0	0	0	0	0	0	-4.54999	0	0	-9.11167	0	0	
0	0	0	0	0	0	0	0	8.19794	0	1.60166	0	0	
0	0	0	0	0	0	0	0	0	6.32072	-6.34817	0	0	
0	0	0	0	0	0	0	0	0	0	5.72739	-4.59392	0	
0	0	0	0	0	0	2.98767	-3.41427	0	0	8.37313	0	0	
0	0	0	0	0	0	0	6.99984	-2.98991	0	-8.59877	0	0	
0	0	0	0	0	0	0	0	7.77353	6.61774	9.96712	0	0	
0	0	0	0	0	0	0	0	0	-6.59542	5.79862	-4.6289	-6.54999	
0	0	0	0	0	0	-9.36027	-0.579992	-0.781643	7.18197	-7.77999	0	0	
0	0	0	0	0	0	0	0	0	0	5.88687	0	7.60272	
0	0	0	0	0	0	0	0	0	0	0	0	0	
